data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2020,10,Region 2,Fentanyl,10/31/2020,5895,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,11,Region 2,Fentanyl,11/30/2020,5986,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,12,Region 2,Fentanyl,12/31/2020,6013,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,1,Region 2,Fentanyl,1/31/2021,6205,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,2,Region 2,Fentanyl,2/28/2021,6258,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,3,Region 2,Fentanyl,3/31/2021,6415,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,4,Region 2,Fentanyl,4/30/2021,6455,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,5,Region 2,Fentanyl,5/31/2021,6375,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,6,Region 2,Fentanyl,6/30/2021,6471,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,7,Region 2,Fentanyl,7/31/2021,6569,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,8,Region 2,Fentanyl,8/31/2021,6677,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,9,Region 2,Fentanyl,9/30/2021,6833,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,10,Region 2,Fentanyl,10/31/2021,6979,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,11,Region 2,Fentanyl,11/30/2021,7037,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,12,Region 2,Fentanyl,12/31/2021,7148,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,1,Region 2,Fentanyl,1/31/2022,7155,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,2,Region 2,Fentanyl,2/28/2022,7214,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,3,Region 2,Fentanyl,3/31/2022,7170,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,4,Region 2,Fentanyl,4/30/2022,7194,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,5,Region 2,Fentanyl,5/31/2022,7238,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,6,Region 2,Fentanyl,6/30/2022,7210,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,7,Region 2,Fentanyl,7/31/2022,7243,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,8,Region 2,Fentanyl,8/31/2022,7236,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,9,Region 2,Fentanyl,9/30/2022,7247,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,10,Region 2,Fentanyl,10/31/2022,7255,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,11,Region 2,Fentanyl,11/30/2022,7345,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,12,Region 2,Fentanyl,12/31/2022,7398,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,1,Region 2,Fentanyl,1/31/2023,7407,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,2,Region 2,Fentanyl,2/28/2023,7417,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,3,Region 2,Fentanyl,3/31/2023,7427,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,4,Region 2,Fentanyl,4/30/2023,7536,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,5,Region 2,Fentanyl,5/31/2023,7574,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,6,Region 2,Fentanyl,6/30/2023,7634,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,7,Region 2,Fentanyl,7/31/2023,7588,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,8,Region 2,Fentanyl,8/31/2023,7600,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,9,Region 2,Fentanyl,9/30/2023,7496,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,10,Region 2,Fentanyl,10/31/2023,7433,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,11,Region 2,Fentanyl,11/30/2023,7289,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,12,Region 2,Fentanyl,12/31/2023,7192,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,1,Region 2,Fentanyl,1/31/2024,7042,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,2,Region 2,Fentanyl,2/29/2024,6930,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,3,Region 2,Fentanyl,3/31/2024,6752,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,4,Region 2,Fentanyl,4/30/2024,6516,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,5,Region 2,Fentanyl,5/31/2024,6251,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,6,Region 2,Fentanyl,6/30/2024,5928,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,1,Region 3,Fentanyl,1/31/2019,6069,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,2,Region 3,Fentanyl,2/28/2019,6079,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,3,Region 3,Fentanyl,3/31/2019,6072,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,4,Region 3,Fentanyl,4/30/2019,6081,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,5,Region 3,Fentanyl,5/31/2019,6037,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,6,Region 3,Fentanyl,6/30/2019,6037,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,7,Region 3,Fentanyl,7/31/2019,6071,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,8,Region 3,Fentanyl,8/31/2019,6148,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,9,Region 3,Fentanyl,9/30/2019,6188,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,10,Region 3,Fentanyl,10/31/2019,6262,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,11,Region 3,Fentanyl,11/30/2019,6420,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,12,Region 3,Fentanyl,12/31/2019,6596,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,1,Region 3,Fentanyl,1/31/2020,6721,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,2,Region 3,Fentanyl,2/29/2020,6869,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,3,Region 3,Fentanyl,3/31/2020,7025,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,4,Region 3,Fentanyl,4/30/2020,7278,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,5,Region 3,Fentanyl,5/31/2020,7702,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,6,Region 3,Fentanyl,6/30/2020,7978,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,7,Region 3,Fentanyl,7/31/2020,8262,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,8,Region 3,Fentanyl,8/31/2020,8477,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,9,Region 3,Fentanyl,9/30/2020,8749,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,10,Region 3,Fentanyl,10/31/2020,8912,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,11,Region 3,Fentanyl,11/30/2020,9055,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2020,12,Region 3,Fentanyl,12/31/2020,9146,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,1,Region 3,Fentanyl,1/31/2021,9386,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,2,Region 3,Fentanyl,2/28/2021,9536,"North Carolina, South Carolina, Georgia, Florida"
