data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2020,8,United States,Xylazine,2020-08-31,1426.0,
2025-01-05,2020,9,United States,Cocaine,2020-09-30,21036.0,
2025-01-05,2020,9,United States,Fentanyl,2020-09-30,51998.0,
2025-01-05,2020,9,United States,Gabapentin,2020-09-30,3855.0,
2025-01-05,2020,9,United States,Heroin,2020-09-30,14497.0,
2025-01-05,2020,9,United States,Methamphetamine,2020-09-30,20812.0,
2025-01-05,2020,9,United States,Oxycodone,2020-09-30,5083.0,
2025-01-05,2020,9,United States,Xylazine,2020-09-30,1480.0,
2025-01-05,2020,10,United States,Cocaine,2020-10-31,21063.0,
2025-01-05,2020,10,United States,Fentanyl,2020-10-31,53287.0,
2025-01-05,2020,10,United States,Gabapentin,2020-10-31,3874.0,
2025-01-05,2020,10,United States,Heroin,2020-10-31,14209.0,
2025-01-05,2020,10,United States,Methamphetamine,2020-10-31,21250.0,
2025-01-05,2020,10,United States,Oxycodone,2020-10-31,5109.0,
2025-01-05,2020,10,United States,Xylazine,2020-10-31,1553.0,
2025-01-05,2020,11,United States,Cocaine,2020-11-30,21056.0,
2025-01-05,2020,11,United States,Fentanyl,2020-11-30,54544.0,
2025-01-05,2020,11,United States,Gabapentin,2020-11-30,3885.0,
2025-01-05,2020,11,United States,Heroin,2020-11-30,13897.0,
2025-01-05,2020,11,United States,Methamphetamine,2020-11-30,21869.0,
2025-01-05,2020,11,United States,Oxycodone,2020-11-30,5114.0,
2025-01-05,2020,11,United States,Xylazine,2020-11-30,1641.0,
2025-01-05,2020,12,United States,Cocaine,2020-12-31,21079.0,
2025-01-05,2020,12,United States,Fentanyl,2020-12-31,55821.0,
2025-01-05,2020,12,United States,Gabapentin,2020-12-31,3941.0,
2025-01-05,2020,12,United States,Heroin,2020-12-31,13643.0,
2025-01-05,2020,12,United States,Methamphetamine,2020-12-31,22559.0,
2025-01-05,2020,12,United States,Oxycodone,2020-12-31,5124.0,
2025-01-05,2020,12,United States,Xylazine,2020-12-31,1760.0,
2025-01-05,2021,1,United States,Cocaine,2021-01-31,21473.0,
2025-01-05,2021,1,United States,Fentanyl,2021-01-31,57891.0,
2025-01-05,2021,1,United States,Gabapentin,2021-01-31,4008.0,
2025-01-05,2021,1,United States,Heroin,2021-01-31,13480.0,
2025-01-05,2021,1,United States,Methamphetamine,2021-01-31,23561.0,
2025-01-05,2021,1,United States,Oxycodone,2021-01-31,5105.0,
2025-01-05,2021,1,United States,Xylazine,2021-01-31,1920.0,
2025-01-05,2021,2,United States,Cocaine,2021-02-28,21581.0,
2025-01-05,2021,2,United States,Fentanyl,2021-02-28,59147.0,
2025-01-05,2021,2,United States,Gabapentin,2021-02-28,4035.0,
2025-01-05,2021,2,United States,Heroin,2021-02-28,13132.0,
2025-01-05,2021,2,United States,Methamphetamine,2021-02-28,24307.0,
2025-01-05,2021,2,United States,Oxycodone,2021-02-28,5150.0,
2025-01-05,2021,2,United States,Xylazine,2021-02-28,2065.0,
2025-01-05,2021,3,United States,Cocaine,2021-03-31,22027.0,
2025-01-05,2021,3,United States,Fentanyl,2021-03-31,61240.0,
2025-01-05,2021,3,United States,Gabapentin,2021-03-31,4086.0,
2025-01-05,2021,3,United States,Heroin,2021-03-31,12905.0,
2025-01-05,2021,3,United States,Methamphetamine,2021-03-31,25282.0,
2025-01-05,2021,3,United States,Oxycodone,2021-03-31,5175.0,
2025-01-05,2021,3,United States,Xylazine,2021-03-31,2247.0,
2025-01-05,2021,4,United States,Cocaine,2021-04-30,22367.0,
2025-01-05,2021,4,United States,Fentanyl,2021-04-30,62669.0,
2025-01-05,2021,4,United States,Gabapentin,2021-04-30,4098.0,
2025-01-05,2021,4,United States,Heroin,2021-04-30,12528.0,
2025-01-05,2021,4,United States,Methamphetamine,2021-04-30,26163.0,
2025-01-05,2021,4,United States,Oxycodone,2021-04-30,5229.0,
2025-01-05,2021,4,United States,Xylazine,2021-04-30,2410.0,
2025-01-05,2021,5,United States,Cocaine,2021-05-31,22364.0,
2025-01-05,2021,5,United States,Fentanyl,2021-05-31,62741.0,
2025-01-05,2021,5,United States,Gabapentin,2021-05-31,4071.0,
2025-01-05,2021,5,United States,Heroin,2021-05-31,11816.0,
2025-01-05,2021,5,United States,Methamphetamine,2021-05-31,26809.0,
2025-01-05,2021,5,United States,Oxycodone,2021-05-31,5148.0,
2025-01-05,2021,5,United States,Xylazine,2021-05-31,2580.0,
2025-01-05,2021,6,United States,Cocaine,2021-06-30,22702.0,
2025-01-05,2021,6,United States,Fentanyl,2021-06-30,63579.0,
2025-01-05,2021,6,United States,Gabapentin,2021-06-30,4117.0,
2025-01-05,2021,6,United States,Heroin,2021-06-30,11345.0,
2025-01-05,2021,6,United States,Methamphetamine,2021-06-30,27579.0,
2025-01-05,2021,6,United States,Oxycodone,2021-06-30,5143.0,
2025-01-05,2021,6,United States,Xylazine,2021-06-30,2759.0,
2025-01-05,2021,7,United States,Cocaine,2021-07-31,23185.0,
2025-01-05,2021,7,United States,Fentanyl,2021-07-31,64572.0,
2025-01-05,2021,7,United States,Gabapentin,2021-07-31,4120.0,
2025-01-05,2021,7,United States,Heroin,2021-07-31,10980.0,
2025-01-05,2021,7,United States,Methamphetamine,2021-07-31,28294.0,
2025-01-05,2021,7,United States,Oxycodone,2021-07-31,5128.0,
2025-01-05,2021,7,United States,Xylazine,2021-07-31,2939.0,
2025-01-05,2021,8,United States,Cocaine,2021-08-31,23821.0,
2025-01-05,2021,8,United States,Fentanyl,2021-08-31,65745.0,
2025-01-05,2021,8,United States,Gabapentin,2021-08-31,4137.0,
2025-01-05,2021,8,United States,Heroin,2021-08-31,10648.0,
2025-01-05,2021,8,United States,Methamphetamine,2021-08-31,28826.0,
2025-01-05,2021,8,United States,Oxycodone,2021-08-31,5143.0,
2025-01-05,2021,8,United States,Xylazine,2021-08-31,3134.0,
2025-01-05,2021,9,United States,Cocaine,2021-09-30,24417.0,
2025-01-05,2021,9,United States,Fentanyl,2021-09-30,67070.0,
2025-01-05,2021,9,United States,Gabapentin,2021-09-30,4195.0,
2025-01-05,2021,9,United States,Heroin,2021-09-30,10374.0,
